code,code_type,short_description,long_description
E11.9-2809,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
M54.5-4578,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
M54.5-3383,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
J18.9-3317,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
992148,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
J18.9-5827,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
A41.9-1448,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
364156,CPT,venipuncture,venipuncture documented during patient clinical encounter
930007,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
N39.0-1164,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
800533,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
I10-4716,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
R07.9-2800,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
850257,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
R07.9-1166,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
364150,CPT,venipuncture,venipuncture documented during patient clinical encounter
850251,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
930109,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
850253,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
453789,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
850255,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
992142,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
M54.5-5836,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
N39.0-1337,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
710204,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
Z00.00-1637,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
Z00.00-3245,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
A41.9-2174,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
N39.0-1511,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
J18.9-1758,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
R07.9-4763,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
I10-1102,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
Z00.00-1051,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
K21.9-265,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
850251,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
992140,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
R07.9-4917,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
930003,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
Z00.00-2182,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
E11.9-5607,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
I10-622,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
R07.9-2555,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
A41.9-3597,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
364159,CPT,venipuncture,venipuncture documented during patient clinical encounter
930003,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
453784,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
M54.5-1299,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
453786,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
J18.9-4797,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
R07.9-705,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
J18.9-1224,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
I10-4889,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
N39.0-3923,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
K21.9-2010,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
992142,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
E11.9-4934,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
R07.9-1547,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
453785,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
800530,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
N39.0-723,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
930109,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
810010,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
C34.90-516,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
Z00.00-1262,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
R07.9-2021,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
R07.9-2665,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
N39.0-3592,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
E11.9-5357,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
E11.9-4593,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
C34.90-1476,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
C34.90-297,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
364158,CPT,venipuncture,venipuncture documented during patient clinical encounter
364151,CPT,venipuncture,venipuncture documented during patient clinical encounter
K21.9-788,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
N39.0-5582,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
992132,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
E11.9-5507,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
C34.90-3106,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
810016,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
K21.9-4986,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
364159,CPT,venipuncture,venipuncture documented during patient clinical encounter
N39.0-608,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
M54.5-4834,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
C34.90-5760,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
I10-5487,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
A41.9-5904,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
800531,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
800533,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
M54.5-586,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
K21.9-3249,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
K21.9-2206,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
E11.9-5982,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
N39.0-4552,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
N39.0-3388,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
R07.9-2196,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
930103,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
R07.9-4194,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
I10-1786,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
R07.9-2126,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
R07.9-1429,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
M54.5-3524,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
E11.9-5000,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
I10-5722,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
800533,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
364158,CPT,venipuncture,venipuncture documented during patient clinical encounter
453781,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
N39.0-2131,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
810017,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
Z00.00-532,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
I10-4752,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
J18.9-2928,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
C34.90-3560,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
K21.9-3890,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
K21.9-1109,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
M54.5-4193,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
992134,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
E11.9-5645,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
364156,CPT,venipuncture,venipuncture documented during patient clinical encounter
A41.9-2967,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
K21.9-2491,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
E11.9-4369,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
364150,CPT,venipuncture,venipuncture documented during patient clinical encounter
N39.0-5872,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
364152,CPT,venipuncture,venipuncture documented during patient clinical encounter
Z00.00-2394,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
Z00.00-5594,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
850250,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
I10-3572,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
710203,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
810019,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
850256,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
M54.5-4805,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
R07.9-920,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
710202,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
930104,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
R07.9-1014,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
810016,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
930104,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
A41.9-4642,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
E11.9-165,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
M54.5-981,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
800530,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
I10-2496,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
810015,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
R07.9-3556,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
R07.9-716,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
710209,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
N39.0-1654,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
N39.0-2123,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
810015,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
Z00.00-4789,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
992132,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
992139,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
810014,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
M54.5-1491,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
710201,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
992147,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
453784,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
992145,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
M54.5-5219,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
K21.9-2586,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
C34.90-2104,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
E11.9-1907,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
E11.9-3200,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
I10-3507,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
930100,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
850257,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
E11.9-3746,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
C34.90-1145,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
850253,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
J18.9-2667,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
M54.5-1026,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
810019,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
453788,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
992138,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
810013,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
A41.9-4140,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
364159,CPT,venipuncture,venipuncture documented during patient clinical encounter
850255,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
N39.0-770,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
R07.9-960,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
N39.0-710,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
930109,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
C34.90-2000,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
R07.9-494,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
A41.9-3531,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
364153,CPT,venipuncture,venipuncture documented during patient clinical encounter
992139,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
K21.9-4702,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
810014,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
R07.9-658,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
C34.90-5762,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
992140,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
K21.9-3461,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
N39.0-3587,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
C34.90-3137,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
I10-4200,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
Z00.00-277,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
J18.9-964,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
J18.9-2012,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
N39.0-5283,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
N39.0-3152,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
930005,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
E11.9-1818,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
930108,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
Z00.00-152,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
K21.9-4854,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
810016,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
I10-2178,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
Z00.00-2099,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
N39.0-5100,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
A41.9-3949,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
I10-3114,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
850251,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
C34.90-4176,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
R07.9-2290,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
710208,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
N39.0-1146,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
I10-2592,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
A41.9-3269,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
C34.90-2853,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
J18.9-2050,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
710205,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
K21.9-3867,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
E11.9-2872,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
N39.0-4877,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
930008,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
J18.9-5278,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
992139,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
A41.9-228,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
N39.0-4259,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
Z00.00-4094,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
364154,CPT,venipuncture,venipuncture documented during patient clinical encounter
710203,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
I10-3615,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
850253,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
Z00.00-111,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
I10-1877,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
E11.9-3918,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
930108,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
E11.9-4540,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
N39.0-4580,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
710201,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
C34.90-2745,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
453786,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
E11.9-5858,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
850250,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
R07.9-3952,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
800530,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
930008,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
J18.9-4531,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
M54.5-4757,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
850254,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
I10-818,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
992140,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
C34.90-5806,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
J18.9-217,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
992132,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
710205,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
930007,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
930000,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
C34.90-5886,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
810014,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
I10-1310,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
N39.0-5176,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
930008,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
R07.9-167,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
I10-3472,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
930001,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
Z00.00-2033,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
M54.5-2278,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
800530,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
930003,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
800532,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
K21.9-2492,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
710206,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
930107,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
J18.9-3003,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
Z00.00-3101,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
K21.9-5532,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
C34.90-164,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
710206,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
J18.9-1132,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
930008,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
C34.90-3617,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
364156,CPT,venipuncture,venipuncture documented during patient clinical encounter
Z00.00-3503,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
M54.5-2424,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
J18.9-2724,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
C34.90-2070,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
E11.9-5451,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
810012,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
R07.9-270,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
K21.9-3431,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
Z00.00-3394,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
850258,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
A41.9-3757,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
R07.9-2416,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
930104,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
850259,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
N39.0-2889,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
